navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
7,"Svobodní, Soukr. a Volba OK",1,Coufal Bohuslav Mgr.,50,Soukromníci,Soukromníci,465,"3,51",-,-
9,JAUNER Československo 2018,19,Coufal Pavel,37,JAUNER,JAUNER,41,"2,09",-,-
7,"Svobodní, Soukr. a Volba OK",19,Coufalová Dagmar,70,Soukromníci,BEZPP,270,"2,04",-,-
7,"Svobodní, Soukr. a Volba OK",38,Coufalová Lumíra,49,Soukromníci,BEZPP,261,"1,97",-,-
16,Česká str.sociálně demokrat.,45,Czmero Jaromír Ing.,66,ČSSD,ČSSD,1 187,"1,83",43,-
16,Česká str.sociálně demokrat.,19,Czmerová Marcela,55,ČSSD,ČSSD,1 391,"2,15",17,-
6,NAŠE KRÁSNÁ OLOMOUC,33,Čečatka Michal,44,NK,BEZPP,354,"2,03",-,-
6,NAŠE KRÁSNÁ OLOMOUC,31,Čecháková Monika,30,NK,BEZPP,349,"2,00",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,33,Čechmánek Ivan Ing.,74,SPD,BEZPP,1 577,"2,19",30,-
2,Strana zelených,23,Čechová Alžběta Mgr.,33,Zelení,BEZPP,524,"2,11",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,15,Čechovský Martin,39,SPD,BEZPP,1 690,"2,34",12,-
6,NAŠE KRÁSNÁ OLOMOUC,43,Černá Milada,56,NK,BEZPP,341,"1,95",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",14,Černáš Pavel,57,SPR-RSČMS,BEZPP,65,"2,83",-,-
13,spOLečně,45,Černocký Tomáš Ing.,31,spOL,spOL,1 352,"1,76",42,-
14,Občanská demokratická strana,30,Černohouz Luboš,57,ODS,ODS,3 115,"2,21",25,-
14,Občanská demokratická strana,7,Černohouz Zdeněk Mgr.,32,ODS,ODS,3 349,"2,37",2,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,24,Čonková Pavla,45,SPOZ,BEZPP,1 572,"2,18",21,-
15,Moravské zemské hnutí,18,Čtvrtlíková Olga,43,MZH,BEZPP,57,"3,03",-,-
11,ProOlomouc,41,Daněk Mikuláš,27,ProOl,BEZPP,3 031,"1,93",35,-
11,ProOlomouc,8,Daněk Petr Ing. arch.,38,ProOl,ProOl,3 865,"2,47",1,-
2,Strana zelených,15,Davies Ashley,47,Zelení,Zelení,544,"2,19",-,-
2,Strana zelených,36,Davies Hedvika,41,Zelení,BEZPP,472,"1,90",-,-
7,"Svobodní, Soukr. a Volba OK",23,Děreš Pavel,41,VOLK,BEZPP,289,"2,18",-,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",7,Divina Jan,33,SPR-RSČMS,BEZPP,63,"2,74",-,-
2,Strana zelených,19,Dobrovolný Lukáš PharmDr.,35,Zelení,BEZPP,578,"2,33",-,-
11,ProOlomouc,17,Dobrozemská Kateřina Bc.,38,ProOl,BEZPP,3 541,"2,26",11,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",16,Dočkal Petr,62,SPR-RSČMS,SPR-RSČMS,61,"2,65",-,-
13,spOLečně,7,Dohnalová Lenka PaedDr.,55,spOL,spOL,1 986,"2,59",2,-
13,spOLečně,13,Dohnalová Silvie Mgr.,31,spOL,spOL,1 686,"2,20",10,-
5,TOP 09 a nezávislí,12,Dokládalová Petra Mgr.,34,NK,BEZPP,1 261,"2,22",-,-
2,Strana zelených,25,Dokoupil Jan Mgr.,27,Zelení,BEZPP,490,"1,97",-,-
4,Komunistická str.Čech a Moravy,40,Dokoupilová Ivanka PaedDr. CSc.,68,KSČM,BEZPP,1 441,"2,10",38,-
